,index,latent_dim,hidden_dim,epochs,learning_rate,kl_div_loss_weight,nb_clusters,stability
312,326,2,20,140,-3.0,0.5,5,0.7782308216496758
229,242,3,50,90,-3.0,0.1,5,0.7766082453620144
215,227,2,40,120,-3.0,0.1,5,0.7765433414124183
90,96,2,20,100,-2.0,0.1,5,0.7758065597933869
12,13,6,20,100,-3.0,0.5,5,0.7757056086197743
262,276,10,60,140,-2.0,0.1,3,0.7746403258375247
123,131,5,40,130,-2.0,0.5,5,0.7725600265256994
186,198,6,40,90,-3.0,0.1,3,0.7719128656746008
271,285,7,30,140,-3.0,1.0,5,0.7679728776263094
98,104,2,30,110,-2.0,1.0,5,0.767302077830817
5,6,5,60,130,-2.0,0.5,5,0.7643435550146711
89,95,5,20,130,-2.0,0.5,5,0.7631335975741562
323,337,4,40,100,-2.0,1.0,5,0.7613520290813116
305,319,9,20,110,-3.0,0.5,5,0.759568764192256
92,98,2,30,120,-3.0,0.1,5,0.7592343929699783
112,119,7,20,130,-2.0,1.0,5,0.7590406366125336
18,19,4,20,100,-3.0,1.0,5,0.7559405934468275
166,178,9,20,100,-2.0,0.1,5,0.7536720376725257
344,358,2,60,120,-2.0,0.1,5,0.7522918557216873
3,4,6,30,100,-2.0,0.5,5,0.7507280845539677
313,327,3,50,130,-3.0,0.5,3,0.750551724478384
19,20,10,40,110,-3.0,1.0,5,0.74618315516385
41,44,2,40,150,-3.0,0.1,5,0.745184902104683
336,350,2,60,90,-2.0,0.1,5,0.745150877622421
207,219,6,60,100,-2.0,0.1,3,0.744095825554107
273,287,7,20,100,-2.0,1.0,5,0.7392904212825592
29,30,9,40,110,-2.0,1.0,5,0.7385719484584551
259,273,2,20,150,-3.0,0.1,5,0.7276364423572208
34,37,9,50,120,-3.0,1.0,3,0.7274996943124306
155,166,5,50,90,-2.0,0.5,3,0.7271901943235539
364,379,6,60,130,-2.0,0.5,5,0.7196047752522357
264,278,4,40,100,-2.0,0.5,5,0.7191445919804833
153,164,4,50,110,-2.0,0.1,4,0.7178533680276795
319,333,6,60,90,-2.0,0.5,2,0.7123573858649278
156,167,9,60,130,-3.0,0.5,2,0.7106262619675409
47,50,10,30,110,-3.0,1.0,5,0.7082572338452707
99,105,4,20,120,-2.0,0.5,5,0.6994337980049805
131,141,2,50,130,-2.0,0.5,5,0.6988780341666625
359,374,3,50,130,-2.0,1.0,5,0.6932472049157197
333,347,2,40,110,-2.0,0.1,5,0.6886112706591112
80,85,2,20,120,-3.0,0.5,5,0.6883499585121986
347,361,5,40,90,-2.0,1.0,5,0.6881719028376637
139,149,2,40,130,-3.0,1.0,5,0.6806215095698418
326,340,10,50,100,-2.0,0.5,4,0.6802104519580517
361,376,9,40,120,-2.0,0.5,3,0.6701404869720429
121,129,6,60,110,-2.0,0.5,2,0.6662400831824159
341,355,7,20,140,-2.0,0.5,5,0.6542978573662331
308,322,7,60,120,-2.0,0.5,3,0.6509968752632587
189,201,3,50,110,-2.0,1.0,5,0.6322874832790437
93,99,10,20,150,-2.0,0.5,4,0.6244871006184726
248,262,9,50,130,-3.0,1.0,4,0.6017179006756764
138,148,3,30,140,-2.0,0.5,4,0.5693111783787841
87,93,10,60,90,-2.0,1.0,3,0.490073378377774
206,218,10,20,100,-2.0,0.5,5,0.4536934384644141
