,dim 1,dim 2,dim 3,dim 4
177,0.62956554,1.5643457,-1.3995863,1.5028824
178,0.88990015,1.069059,-1.1174046,1.0705959
179,0.77154183,0.4687695,-0.50917786,0.97338486
180,1.1028155,-0.24801788,-0.013984198,0.4507168
181,0.84162074,0.15529738,-0.24467182,0.22748317
182,1.1238939,1.1215116,-1.2773058,1.0024825
183,-0.023958616,-0.58480567,1.0385545,1.2613677
184,1.5896543,-0.2241385,-0.40672588,-0.0044518113
185,1.492297,-0.48040652,-0.06631524,0.15082656
186,1.3021963,0.879625,-1.2968255,0.410814
187,0.43767905,0.3009559,-0.31499076,0.6726732
188,-0.4589401,0.08543055,0.66689885,1.4459832
189,0.54638964,0.7437123,-0.58209646,1.2239681
190,1.0125555,0.01743836,-0.32298225,0.2528392
191,0.0013867766,0.2162868,0.2956252,1.2985343
192,0.6428783,0.91352475,-0.90974647,0.6184496
193,1.5339656,0.39369732,-0.91951835,0.39346868
194,-0.047047853,-1.9708803,2.3497365,0.60034955
195,0.9038761,0.45310825,-0.5581891,0.796134
196,-0.3575837,0.4380517,0.29831845,1.7932186
197,0.44884485,-0.033477444,0.06597039,0.17314063
198,1.7223749,0.1790208,-0.8352636,-0.2920585
199,1.6690118,0.5727927,-1.203593,0.13515554
200,0.6551848,1.1296563,-1.2645416,0.771099
201,0.99520177,-0.772038,0.46700868,0.1917801
202,1.0354946,0.5448332,-0.7001714,0.87052715
203,0.5882232,-0.9376688,0.97345114,0.48908943
204,1.0428969,0.47543383,-0.70531,0.63160694
205,0.70679253,-0.1000129,-0.05989701,0.6823925
206,0.689613,-0.5841634,0.5891878,0.7747639
207,1.3939555,0.71137094,-1.1527287,0.5108471
208,1.3729286,0.35719967,-0.7866693,0.46468556
209,0.7547031,0.13363272,-0.17667407,0.8648478
210,0.84921926,-0.73654723,0.5464764,0.2617947
211,0.7201866,-0.55768925,0.49621353,0.6334573
212,1.5415226,0.93571824,-1.4245225,0.5782689
213,0.84634554,-0.40850425,0.3127998,0.8068048
214,0.9374312,0.5860707,-0.74154806,0.93516874
215,1.0386524,-0.3651116,0.09865038,0.45879382
216,1.2823644,0.12170544,-0.5181971,0.6273436
217,-0.40080297,-0.07804456,0.84621364,1.7775857
218,0.9393795,-0.29689896,0.1305385,0.68532306
