,Cluster_1,Cluster_1,Cluster_2,Cluster_2,Cluster_3,Cluster_3,Cluster_4,Cluster_4,Cluster_5,Cluster_5,all_patnos,all_patnos
37,Protein_CLIC4,0.34656836387432577,Protein_GFRA2,0.4106149528321108,Protein_F2.2,-0.3746250695551012,Protein_CALY.1,-0.44244894176996974,Protein_MSMB,0.5828955004435148,Protein_IGFBP2,12.3035142455129
38,Protein_FUT10,0.3441105721773803,Protein_FAM19A1,0.4104843363266397,Protein_SERPINA7,-0.37177806314625883,Protein_FCER2,-0.4417295390969054,Protein_C9.2,0.5759081593364348,Protein_FN1.1,12.278917006887049
39,Protein_B4GALT1,0.34308885097461594,Protein_EPHB6.1,0.4066597391750495,Protein_LCP1,-0.37121629666719524,Protein_NLGN1,-0.4323884761770991,Protein_SERPINA4,0.5712209506704342,Protein_ACYP2,12.2513095939478
40,Protein_HS3ST1,0.34288330642324993,Protein_RNASE1,0.4063190800971004,Protein_CA3,-0.37090741017083984,Protein_GFRA2,-0.4294599533193191,Protein_C9.1,0.5667068978311747,Protein_APOE,12.19521461159065
41,Protein_STAMBPL1,0.34170482847703987,Protein_AMHR2,-0.403907769596616,Protein_XCL1,-0.36966632572970504,Protein_SLITRK3,-0.42778320222236976,Protein_C9,0.5656799259705694,Protein_NPTX1,12.184250457207849
42,Protein_CCL19,0.3407620061473846,Protein_ITIH1,-0.4038305984897006,Protein_MSMB,-0.3689892073232457,Protein_DLD,-0.4252744934087245,Protein_KNG1.1,0.5608586633848489,Protein_NPTXR,12.176302082343849
43,Protein_DPY30,0.3376397766042496,Protein_SLITRK3,0.4033550839894051,Protein_CFP,-0.36534071965363424,Protein_CACNA2D3,-0.4244241533999844,Protein_SERPINA7,0.5603713334340057,Protein_SPARCL1.1,12.16125482522955
44,Protein_CBLN4,0.3375907736901649,Protein_APOA1,-0.40110643644297994,Protein_PI3,-0.3650122740201702,Protein_QSOX2,-0.4238384136961808,Protein_HNF4A,0.5595959664999399,Protein_TF,12.1256063123534
45,Protein_SLITRK1,0.3346893304939593,Protein_WIF1,0.3979172242153517,Protein_HP.1,-0.36415242756734933,Protein_TMCC3.1,-0.42192776007405985,Protein_SERPINA4.1,0.55840623499311,Protein_OMD,12.100783389990351
46,Protein_UCMA,0.33257415467064,Protein_SFTPD,-0.39759714064009977,Protein_APOA1,-0.3611901281645098,Protein_HDHD2,-0.420915315122965,Protein_APOM.1,0.5578512847171506,Protein_TNFRSF21,12.08645778915125
47,Protein_C11orf68,0.3321508518773748,Protein_IGHG1.1,-0.39570660260938517,Protein_SERPINA3.1,-0.3606241376184993,Protein_S100A13,-0.42088281317998444,Protein_CFB,0.5570849821350001,Protein_IGFBP6.1,12.08621667114455
48,Protein_LRP11.1,0.33209306793322924,Protein_LINGO1,0.3922335360113749,Protein_PGLYRP2,-0.3595674482830047,Protein_NRXN1,-0.4189098866540233,Protein_ALB,0.5546414904857309,Protein_THBS2.1,12.068207779777449
